job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
2899,Insurance Agent,"Singapore, SG",,2000-4000,"Global Career Network connects job seekers with high-paying remote opportunities. Flexible hours, weekly pay, work from anywhere! Limited spots available, apply now before positions fill up.","Now hiring a Insurance Agent, no resume needed! Get hired in 24 hours. Message us on Telegram or WhatsApp to skip the wait and start your first task today. A small refundable registration fee of $50-150 is required to activate your training account.",Anyone can apply! We just need your basic information and a small registration fee to cover background check processing and training materials.,"Be your own boss! Guaranteed income, no cap on earnings, instant approval.",1,1,0,Part-time,Not Applicable,Certification,Financial Services,Business Development,1
2702,Physical Therapist,"Singapore, SG",Customer Service,65000-75000,"Ironwood Capital has been a trusted name in computer software since 1986. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","Ironwood Capital is hiring a Physical Therapist to support our customer service team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",1,1,1,Full-time,Not Applicable,Some College Coursework Completed,Computer Software,Customer Service,0
2609,Product Manager,"Pune, MH, IN",Information Technology,45000-55000,"We are Northbridge Financial, a 2000-person company headquartered in Pune, specializing in retail. Visit our official website for more on our mission, leadership team, and open positions.","We are looking for a Product Manager to join our growing team in Pune, MH, IN. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to information technology, collaborating with stakeholders, and contributing to ongoing process improvements. This is a contract position reporting directly to the information technology lead.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,0,Contract,Mid-Senior level,Some College Coursework Completed,Retail,Information Technology,0
2386,Office Manager,"Chicago, IL, US",Marketing,45000-65000,"Founded in 2015, Brightwater Capital is a leading provider of financial services solutions serving clients across Chicago. Our team of 2000 professionals is committed to innovation, quality, and long-term client partnerships.","As a Office Manager at Brightwater Capital, you will play a key role in our marketing department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,1,Contract,Not Applicable,Associate Degree,Financial Services,Marketing,0
666,Business Development Manager,"Sydney, NSW, AU",Engineering,35000-50000,"We are Oakmont Capital, a 20-person company headquartered in Sydney, specializing in human resources. Visit our official website for more on our mission, leadership team, and open positions.","As a Business Development Manager at Oakmont Capital, you will play a key role in our engineering department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,1,0,Other,Not Applicable,Certification,Human Resources,Engineering,0
1781,Backend Developer,"Sydney, NSW, AU",Information Technology,110000-120000,"We are Meridian Holdings, a 120-person company headquartered in Sydney, specializing in information technology and services. Visit our official website for more on our mission, leadership team, and open positions.","Meridian Holdings is hiring a Backend Developer to support our information technology team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,1,Contract,Not Applicable,Associate Degree,Information Technology and Services,Information Technology,0
214,Delivery Driver,"Singapore, SG",Other,110000-125000,"We are Brookstone Logistics, a 50-person company headquartered in Singapore, specializing in banking. Visit our official website for more on our mission, leadership team, and open positions.","As a Delivery Driver at Brookstone Logistics, you will play a key role in our other department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,1,Contract,Director,Unspecified,Banking,Other,0
1680,Retail Sales Associate,"Denver, CO, US",Sales,90000-100000,"Founded in 2004, Clearwater Industries is a leading provider of manufacturing solutions serving clients across Denver. Our team of 300 professionals is committed to innovation, quality, and long-term client partnerships.","We are looking for a Retail Sales Associate to join our growing team in Denver, CO, US. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to sales, collaborating with stakeholders, and contributing to ongoing process improvements. This is a part-time position reporting directly to the sales lead.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,1,Part-time,Not Applicable,Associate Degree,Manufacturing,Sales,0
2042,Frontend Developer,"San Francisco, CA, US",Marketing,55000-70000,"Cascade Media has been a trusted name in retail since 1990. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","Cascade Media is hiring a Frontend Developer to support our marketing team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,0,Part-time,Associate,Master's Degree,Retail,Marketing,0
693,IT Support Specialist,"Manchester, England, GB",Sales,110000-125000,"Founded in 1995, Atlas Industries is a leading provider of human resources solutions serving clients across Manchester. Our team of 50 professionals is committed to innovation, quality, and long-term client partnerships.","Atlas Industries is hiring a IT Support Specialist to support our sales team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,1,Full-time,Not Applicable,Certification,Human Resources,Sales,0
