company_id,name,industry,headquarters,official_domain,founded_year,trust_status,trust_score,employee_count,report_count,notes
1,Google,Internet,"Mountain View, CA, US",google.com,1998,verified,97,10000,0,"Publicly known, established company."
2,Microsoft,Computer Software,"Redmond, WA, US",microsoft.com,1975,verified,98,200000,0,"Publicly known, established company."
3,Amazon,Internet/Retail,"Seattle, WA, US",amazon.com,1994,verified,92,5000,0,"Publicly known, established company."
4,Meta Platforms,Internet,"Menlo Park, CA, US",meta.com,2004,verified,93,25000,0,"Publicly known, established company."
5,Apple,Consumer Electronics,"Cupertino, CA, US",apple.com,1976,verified,92,100000,0,"Publicly known, established company."
6,Netflix,Media Production,"Los Gatos, CA, US",netflix.com,1997,verified,95,5000,0,"Publicly known, established company."
7,Salesforce,Computer Software,"San Francisco, CA, US",salesforce.com,1999,verified,93,50000,0,"Publicly known, established company."
8,IBM,Information Technology and Services,"Armonk, NY, US",ibm.com,1911,verified,98,5000,0,"Publicly known, established company."
9,Adobe,Computer Software,"San Jose, CA, US",adobe.com,1982,verified,95,5000,0,"Publicly known, established company."
10,Oracle,Computer Software,"Austin, TX, US",oracle.com,1977,verified,98,5000,0,"Publicly known, established company."
11,Accenture,Management Consulting,"Dublin, IE",accenture.com,1989,verified,93,10000,0,"Publicly known, established company."
12,Deloitte,Management Consulting,"London, GB",deloitte.com,1845,verified,92,100000,0,"Publicly known, established company."
13,Infosys,Information Technology and Services,"Bangalore, KA, IN",infosys.com,1981,verified,98,5000,0,"Publicly known, established company."
14,Tata Consultancy Services,Information Technology and Services,"Mumbai, MH, IN",tcs.com,1968,verified,95,5000,0,"Publicly known, established company."
15,Wipro,Information Technology and Services,"Bangalore, KA, IN",wipro.com,1945,verified,94,25000,0,"Publicly known, established company."
16,HCLTech,Information Technology and Services,"Noida, UP, IN",hcltech.com,1976,verified,98,10000,0,"Publicly known, established company."
17,JPMorgan Chase,Banking,"New York, NY, US",jpmorganchase.com,1799,verified,93,100000,0,"Publicly known, established company."
18,Goldman Sachs,Financial Services,"New York, NY, US",goldmansachs.com,1869,verified,96,100000,0,"Publicly known, established company."
19,Spotify,Media Production,"Stockholm, SE",spotify.com,2006,verified,94,5000,0,"Publicly known, established company."
20,Shopify,Computer Software,"Ottawa, ON, CA",shopify.com,2006,verified,95,25000,0,"Publicly known, established company."
21,Stripe,Financial Services,"San Francisco, CA, US",stripe.com,2010,verified,93,100000,0,"Publicly known, established company."
22,Atlassian,Computer Software,"Sydney, NSW, AU",atlassian.com,2002,verified,93,100000,0,"Publicly known, established company."
23,SAP,Computer Software,"Walldorf, DE",sap.com,1972,verified,92,100000,0,"Publicly known, established company."
24,Siemens,Industrial Automation,"Munich, DE",siemens.com,1847,verified,95,50000,0,"Publicly known, established company."
25,Unilever,Consumer Goods,"London, GB",unilever.com,1929,verified,98,25000,0,"Publicly known, established company."
